Post_ID,Post_Type,Likes,Shares,Comments,Views,Post_Date,Post_Time
P001,reels,3558,646,591,9242,2024-04-13,10:45
P002,video,1133,689,613,2434,2024-01-08,09:30
P003,static_image,641,153,106,1249,2024-11-28,08:30
P004,carousel,852,327,231,3260,2024-11-28,10:30
P005,video,875,601,769,3834,2024-10-19,15:00
P006,carousel,946,467,135,3328,2024-01-20,15:15
P007,video,1693,324,368,4220,2024-04-13,11:15
P008,carousel,548,427,227,3967,2024-10-09,08:00
P009,static_image,315,126,75,1331,2024-12-06,11:00
P010,static_image,375,139,66,1783,2024-05-13,11:30
P011,carousel,711,441,137,1686,2024-05-15,09:30
P012,reels,1319,887,1363,8270,2024-03-15,16:45
P013,video,1715,438,717,6494,2024-06-03,15:15
P014,static_image,345,168,56,771,2024-10-10,09:15
P015,static_image,601,134,103,1223,2024-07-13,09:30
P016,static_image,613,166,57,2704,2024-09-21,08:45
P017,static_image,600,113,140,1411,2024-12-31,13:45
P018,video,880,628,372,6761,2024-02-13,13:15
P019,carousel,726,406,143,2707,2024-12-15,11:45
P020,video,1237,661,424,2771,2024-11-05,11:15
P021,static_image,457,186,64,2334,2024-09-04,10:15
P022,static_image,564,130,68,1088,2024-02-15,16:15
P023,static_image,338,211,105,2685,2024-03-03,14:30
P024,static_image,484,198,103,898,2024-04-07,11:15
P025,carousel,634,250,261,1701,2024-01-25,08:45
P026,static_image,579,300,55,2750,2024-02-19,11:45
P027,reels,1119,833,1307,15668,2024-06-05,16:00
P028,carousel,819,241,122,1931,2024-11-11,11:30
P029,video,1339,208,539,5327,2024-11-15,09:30
P030,reels,3906,566,1471,15472,2024-01-09,10:30
P031,video,1458,478,761,2607,2024-02-16,16:15
P032,reels,2279,521,895,15180,2024-10-06,11:15
P033,carousel,771,320,256,3056,2024-12-09,09:15
P034,video,1972,277,305,5091,2024-03-27,17:15
P035,video,1827,539,637,9818,2024-06-28,17:00
P036,video,1216,410,551,5196,2024-11-30,09:30
P037,static_image,529,107,117,705,2024-03-28,09:15
P038,video,1021,642,335,8798,2024-09-05,17:00
P039,reels,2941,750,1432,19496,2024-10-13,10:45
P040,static_image,397,300,134,2765,2024-03-07,11:30
P041,static_image,412,115,55,565,2024-12-19,14:30
P042,video,1763,297,502,9644,2024-04-07,11:00
P043,carousel,504,377,112,1983,2024-01-24,15:15
P044,static_image,602,110,93,1117,2024-02-03,10:00
P045,carousel,559,275,127,3974,2024-04-15,10:45
P046,video,1507,589,729,5441,2024-06-27,09:00
P047,static_image,342,162,57,1734,2024-08-20,08:45
P048,carousel,750,410,263,1821,2024-09-30,09:45
P049,video,1076,327,407,8293,2024-11-12,10:45
P050,static_image,683,208,139,2836,2024-03-24,10:45
P051,static_image,517,265,82,953,2024-08-01,16:30
P052,video,1368,231,555,6829,2024-05-19,10:00
P053,carousel,505,410,225,3018,2024-08-15,10:45
P054,static_image,408,222,61,1445,2024-03-16,08:45
P055,carousel,648,446,151,2199,2024-12-13,15:30
P056,reels,3473,359,971,10440,2024-12-20,11:15
P057,carousel,890,400,268,3913,2024-12-14,08:45
P058,carousel,562,350,253,1693,2024-10-25,12:00
P059,reels,1888,365,527,14763,2024-05-01,09:45
P060,video,1281,387,543,5822,2024-07-21,10:45
P061,static_image,438,230,111,676,2024-08-03,09:15
P062,video,1725,661,709,2970,2024-08-22,14:00
P063,video,1058,433,348,6047,2024-12-24,09:00
P064,static_image,585,136,106,1636,2024-03-02,12:45
P065,video,1284,671,587,3661,2024-05-09,14:00
P066,video,1720,415,458,9624,2024-12-06,09:30
P067,carousel,675,438,227,1869,2024-03-28,14:15
P068,video,1247,675,577,7830,2024-04-14,17:15
P069,reels,2013,368,1162,6980,2024-04-04,09:00
P070,carousel,973,328,183,3276,2024-09-22,10:45
P071,video,1331,632,470,9881,2024-07-25,14:00
P072,carousel,698,478,153,2375,2024-03-30,10:45
P073,video,966,271,699,3366,2024-11-09,13:45
P074,carousel,665,295,187,4184,2024-08-08,10:30
P075,carousel,783,486,102,1785,2024-08-10,15:15
P076,video,1165,435,698,7478,2024-04-05,17:30
P077,carousel,683,302,175,4971,2024-06-27,12:00
P078,static_image,680,273,141,1678,2024-01-26,10:15
P079,reels,1671,892,1499,11172,2024-12-01,09:45
P080,carousel,912,266,201,1297,2024-09-20,17:15
P081,static_image,522,151,95,2534,2024-05-27,10:45
P082,video,1353,583,664,6427,2024-06-13,08:00
P083,reels,2271,974,1494,15108,2024-07-02,15:00
P084,video,1214,459,737,8262,2024-09-28,09:30
P085,static_image,336,118,77,670,2024-11-25,08:00
P086,carousel,987,328,174,4336,2024-02-17,17:15
P087,video,1512,490,712,9444,2024-10-10,10:45
P088,static_image,670,128,62,837,2024-01-10,15:30
P089,static_image,666,153,72,1702,2024-02-09,12:00
P090,reels,1994,881,923,6692,2024-08-07,15:45
P091,reels,3921,374,1414,15792,2024-10-13,10:45
P092,video,703,252,425,8347,2024-11-20,09:15
P093,static_image,611,213,81,1186,2024-12-07,17:00
P094,static_image,309,182,98,2059,2024-10-29,09:30
P095,video,824,674,454,2645,2024-11-02,10:00
P096,static_image,490,220,128,1763,2024-02-01,09:00
P097,video,1280,303,634,8091,2024-09-21,11:00
P098,reels,1639,617,947,17523,2024-12-24,11:15
P099,reels,3605,918,1311,10048,2024-04-15,09:45
P100,reels,3471,524,1197,13700,2024-09-11,09:15
